"پژو،206،  تیپ 2",0,0,93000000
"پژو،206،  تیپ 2",20000,0,88700000
"کیا،اپتیما، ساده",210000,9,270000000
"پژو،206،  تیپ 2",0,0,89000000
"رنو،تندر90، E2",135000,3,110000000
"کیا،اپتیما، ساده",220000,9,280000000
"کیا،اپتیما، ساده",190000,9,270000000
"پراید،131، SE",0,0,49500000
"ساینا،EX دنده ای",0,0,63500000
"پژو،206 SD، V8",0,0,109000000
"دنا،پلاس، دنده ای ساده",0,0,149500000
"پژو،206،  تیپ 2",0,0,91000000
"پژو،206،  تیپ 5",0,0,109000000
"پژو،206 SD، V8",0,0,110000000
"پژو،206،  تیپ 2",0,0,90000000
"پژو،405، GLX بنزینی",0,0,78000000
"پژو،206،  تیپ 2",0,0,92800000
"پژو،206 SD، V8",0,0,113000000
"پژو،206،  تیپ 5",100000,5,75500000
"پراید،131، SE",0,0,49500000
"پژو،206،  تیپ 5",480000,3,80000000
"پژو،206،  تیپ 5",20000,1,99000000
"ب ام و،X4، 28",33000,3,1530000000
"ساینا،EX دنده ای",0,0,61000000
"پژو،206،  تیپ 2",17000,2,73000000
"دنا،پلاس، دنده ای ساده",40000,1,141000000
"دنا،پلاس، دنده ای ساده",55000,1,138500000
"ساینا،EX دنده ای",0,0,61000000
"دنا،پلاس، دنده ای ساده",43000,1,139500000
"ب ام و،X4، 28",5000,2,1950000000
"پراید،131، SE",0,0,48300000
"پژو،206،  تیپ 5",0,0,103000000
"پژو،206،  تیپ 2",0,0,86500000
"سمند،LX، ساده",0,0,82500000
"ب ام و،X4، 28",0,2,2200000000
"پراید،111، SE",0,0,52000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",70000,2,320000000
"پژو،206،  تیپ 5",0,0,109500000
"پژو،206 SD، V8",0,0,110000000
"پژو،206 SD، V8",0,0,112000000
"پراید،131، SE",0,0,49700000
"دنا،پلاس، دنده ای ساده",0,0,163000000
"پژو،206 SD، V8",188000,6,66500000
"پژو،206 SD، V8",0,0,112000000
"پژو،206،  تیپ 2",0,0,90000000
"سمند،LX، ساده",0,0,81000000
"ساینا،EX دنده ای",0,0,60700000
